"Upeneichthys lineatus",TRUE,NA,"Also known as the bluestriped goatfish, it's an important commercial and recreational fishing species",NA
"Trachinops noarlungae",TRUE,NA,"Endemic to southern Australia, this hulafish species is known for its vibrant coloration",NA
"Parapercis ramsayi",TRUE,NA,"Commonly called the spotted grubfish, it's a bottom-dwelling species",NA
"Bathytoshia brevicaudata",TRUE,NA,"Known as the smooth stingray, it's one of the largest stingray species in the world",NA
"Heteroscarus acroptilus",TRUE,NA,"This wrasse species is endemic to southern Australia and is also called the rainbow cale",NA
"Olisthops cyanomelas",TRUE,NA,"Known as the herring cale, this fish changes color as it matures",NA
"Leviprora inops",TRUE,NA,"This flathead species is also called the longspine flathead and is endemic to Australia",NA
"Sphyraena novaehollandiae",TRUE,NA,"Commonly known as the Australian barracuda, it's a popular target for recreational fishers",NA
"Lophonectes gallus",TRUE,NA,"This flatfish species is also called the crested flounder due to its distinctive dorsal fin",NA
"Gymnothorax prasinus",TRUE,NA,"Known as the green moray, this eel species is relatively common in southern Australian waters",NA
"Siphonognathus argyrophanes",TRUE,NA,"A species of weed whiting endemic to southern Australia",NA
"Sheardichthys radiatus",TRUE,NA,"Also known as the glassfish, it's endemic to southern Australia",NA
"Sillago bassensis",TRUE,NA,"Known as the southern school whiting, important for recreational fishing",NA
"Sillago ingenuua",FALSE,"This species is found in the waters of northern Australia and Papua New Guinea","Likely a misspelling of Sillago ingenuua","Sillago schomburgkii, Sillago vittata, Sillago burrus"
"Hippocampus hippocampus",FALSE,"This seahorse species is native to the northeastern Atlantic Ocean and the Mediterranean Sea","Also known as the short-snouted seahorse","Hippocampus breviceps, Hippocampus subelongatus, Hippocampus angustus"
"Meuschenia hippocrepis",TRUE,NA,"Known as the horseshoe leatherjacket, endemic to southern Australia",NA
"Pempheris klunzingeri",TRUE,NA,"Known as the rough bullseye, found in southern Australian waters",NA
"Phycodurus eques",TRUE,NA,"The leafy seadragon, an iconic species endemic to southern and eastern Australian waters",NA
"Heteroclinus nasutus",TRUE,NA,"Known as the large-nose weedfish, found in southern Australian waters",NA
"Hypoplectrodes nigroruber",TRUE,NA,"Known as the black-banded seaperch, found in southern Australian waters",NA
"Mola mola",TRUE,NA,"Ocean sunfish, largest bony fish, can weigh up to 2,000 kg",NA
"Callogobius hasseltii",TRUE,NA,"Small goby found in coral reefs and rocky areas",NA
"Upeneichthys stotti",TRUE,NA,"Endemic to southern Australia, a type of goatfish",NA
"Pseudophycis breviuscula",FALSE,"Found in New Zealand waters","False cod or bastard red cod","Pseudophycis barbata, Lotella rhacina"
"Nemadactylus valenciennesi",TRUE,NA,"Known as blue morwong or queen snapper, important recreational fishing species",NA
"Platycephalus grandispinis",TRUE,NA,"Large-spined flathead, endemic to southern Australia",NA
"Arripis georgianus",TRUE,NA,"Australian herring or tommy ruff, important for commercial and recreational fishing",NA
"Polyspina piosae",FALSE,"Found in the Mediterranean Sea","Recently described species (2012) of clingfish","Aspasmogaster costata, Cochleoceps spatula, Gobiesox fimbriatus"
"Coris sandeyeri",FALSE,"Found in New Zealand waters","Sandager's wrasse","Coris auricularis, Ophthalmolepis lineolata, Notolabrus parilus"
"Haletta semifasciata",TRUE,NA,"Blue weed whiting, found in seagrass beds and reef areas",NA
"Bodianus frenchii",TRUE,NA,"Known as the foxfish, endemic to southern Australia. Popular for recreational fishing.",NA
"Heteroclinus roseus",TRUE,NA,"A species of weedfish, often found in shallow reef areas.",NA
"Achoerodus viridis",FALSE,"Found on the east coast of Australia, not typically in Western Australia","Known as the eastern blue groper, it's the official fish emblem of New South Wales","Achoerodus gouldii (western blue groper) is found in Western Australia"
"Pempheris japonica",FALSE,"Native to waters around Japan and Korea","A species of sweeper fish","Pempheris klunzingeri, Pempheris multiradiata"
"Lutjanus sebae",TRUE,NA,"Known as the red emperor, highly valued for its eating qualities",NA
"Hypoplectrodes maccullochi",TRUE,NA,"A species of seaperch, endemic to Australia",NA
